Year,FLOOR,TIMESLOT,Number_of_People
2022,3,16:45,31.692307692307693
2022,3,17:40,29.0
2022,3,18:35,25.0
2022,4,08:30,29.333333333333332
2022,4,09:25,27.59375
2022,4,10:20,27.838709677419356
2022,4,11:15,25.15625
2022,4,12:10,25.821428571428573
2022,4,13:05,30.125
2022,4,14:00,33.42307692307692
2022,4,14:55,32.73076923076923
2022,4,15:50,34.608695652173914
2022,4,16:45,37.611111111111114
2022,4,17:40,21.166666666666668
2022,4,18:35,21.6
2022,4,19:30,34.0
2022,5,08:30,20.0
2022,5,09:25,18.86842105263158
2022,5,10:20,17.305555555555557
2022,5,11:15,17.128205128205128
2022,5,12:10,17.542857142857144
2022,5,13:05,17.321428571428573
2022,5,14:00,16.029411764705884
2022,5,14:55,17.38888888888889
2022,5,15:50,15.81578947368421
2022,5,16:45,15.0
2022,5,17:40,18.095238095238095
2022,5,18:35,22.642857142857142
2023,0,08:30,65.16666666666667
2023,0,09:25,65.16666666666667
2023,0,10:20,68.33333333333333
2023,0,11:15,88.33333333333333
2023,0,12:10,100.75
2023,0,13:05,72.33333333333333
2023,0,14:00,65.2
2023,0,14:55,47.0
2023,0,15:50,46.5
2023,0,16:45,82.0
2023,0,18:35,90.0
2023,0,19:30,90.0
2023,0,20:25,90.0
2023,1,08:30,39.7
2023,1,09:25,40.42857142857143
2023,1,10:20,40.80952380952381
2023,1,11:15,45.78947368421053
2023,1,12:10,31.785714285714285
2023,1,13:05,43.23809523809524
2023,1,14:00,44.47826086956522
2023,1,14:55,44.94736842105263
2023,1,15:50,41.94117647058823
2023,1,16:45,29.333333333333332
2023,1,17:40,34.0
2023,1,18:35,7.8
2023,1,19:30,7.8
2023,1,20:25,6.25
2023,2,08:30,28.555555555555557
2023,2,09:25,30.291666666666668
2023,2,10:20,29.02777777777778
2023,2,11:15,32.354838709677416
2023,2,12:10,27.304347826086957
2023,2,13:05,26.76
2023,2,14:00,28.441176470588236
2023,2,14:55,27.96969696969697
2023,2,15:50,28.870967741935484
2023,2,16:45,28.533333333333335
2023,2,17:40,44.42857142857143
2023,2,18:35,8.0
2023,2,19:30,8.0
2023,2,20:25,8.0
2023,3,08:30,37.07142857142857
2023,3,09:25,37.44444444444444
2023,3,10:20,35.642857142857146
2023,3,11:15,37.70967741935484
2023,3,12:10,33.53333333333333
2023,3,13:05,31.88
2023,3,14:00,33.44444444444444
2023,3,14:55,37.0
2023,3,15:50,34.18181818181818
2023,3,16:45,31.0
2023,3,17:40,38.0
2023,3,18:35,11.181818181818182
2023,3,19:30,11.181818181818182
2023,3,20:25,11.181818181818182
2023,4,08:30,36.22222222222222
2023,4,09:25,37.916666666666664
2023,4,10:20,33.15384615384615
2023,4,11:15,30.87878787878788
2023,4,12:10,31.74074074074074
2023,4,13:05,30.59090909090909
2023,4,14:00,31.48148148148148
2023,4,14:55,34.541666666666664
2023,4,15:50,28.36
2023,4,16:45,27.157894736842106
2023,4,17:40,21.818181818181817
2023,4,18:35,11.25
2023,4,19:30,11.25
2023,4,20:25,11.25
2023,5,08:30,19.857142857142858
2023,5,09:25,16.333333333333332
2023,5,10:20,16.8
2023,5,11:15,16.72972972972973
2023,5,12:10,15.942857142857143
2023,5,13:05,16.5
2023,5,14:00,17.0
2023,5,14:55,16.263157894736842
2023,5,15:50,14.40625
2023,5,16:45,11.055555555555555
2023,5,17:40,8.666666666666666
2023,5,18:35,7.857142857142857
2023,5,19:30,5.0
2023,5,20:25,5.0
2024,0,08:30,47.0
2024,0,09:25,53.666666666666664
2024,0,10:20,61.5
2024,0,11:15,67.8
2024,0,12:10,68.0
2024,0,13:05,44.0
2024,0,14:00,47.888888888888886
2024,0,14:55,80.6
2024,0,15:50,66.71428571428571
2024,0,16:45,62.833333333333336
2024,0,17:40,61.25
2024,0,18:35,75.0
2024,1,08:30,32.476190476190474
2024,1,09:25,34.76923076923077
2024,1,10:20,35.241379310344826
2024,1,11:15,37.44
2024,1,12:10,38.95652173913044
2024,1,13:05,37.7
2024,1,14:00,34.45454545454545
2024,1,14:55,32.526315789473685
2024,1,15:50,41.5625
2024,1,16:45,31.533333333333335
2024,1,17:40,21.25
2024,1,18:35,19.666666666666668
2024,1,19:30,21.0
2024,2,08:30,35.15384615384615
2024,2,09:25,31.842105263157894
2024,2,10:20,31.333333333333332
2024,2,11:15,30.153846153846153
2024,2,12:10,28.285714285714285
2024,2,13:05,31.884615384615383
2024,2,14:00,31.52
2024,2,14:55,30.416666666666668
2024,2,15:50,31.583333333333332
2024,2,16:45,34.857142857142854
2024,2,17:40,36.4
2024,3,08:30,30.35
2024,3,09:25,32.083333333333336
2024,3,10:20,31.818181818181817
2024,3,11:15,29.903225806451612
2024,3,12:10,30.16
2024,3,13:05,32.32
2024,3,14:00,34.37931034482759
2024,3,14:55,32.17857142857143
2024,3,15:50,33.714285714285715
2024,3,16:45,37.9
2024,3,17:40,33.0
2024,4,08:30,31.4375
2024,4,09:25,29.555555555555557
2024,4,10:20,30.485714285714284
2024,4,11:15,30.387096774193548
2024,4,12:10,29.19047619047619
2024,4,13:05,28.178571428571427
2024,4,14:00,31.64516129032258
2024,4,14:55,31.566666666666666
2024,4,15:50,35.31578947368421
